manufacturer,mpn,part_label,category,kind,observed_property,actuatable_property,feature_of_interest,vcc_min,vcc_max,logic_level,i_active_mA,i_idle_uA,iface,i2c_addr_default,i2c_addr_range,spi_max_mhz,uart_baud,sample_rate_max_hz,latency_ms,accuracy_pct,range_min,range_max,units,datasheet_url,product_url,offer_price,currency,lifecycle,notes,package_case,pin_count,temp_min_c,temp_max_c,clock_mhz
Vince Callahan,nan,128 x 64 Graphic LCD,actuator,display_lcd,,,,,,,,,,,,,,,,,,,,,http://www.arduino.cc/playground/Code/GLCDks0108,,,,imported_from_fritzing,,,,,
Generic,nan,12V DC Adapter,power,dc_12v_adapter,,,,12.0,12.0,,,,,POWER,,,,,,,,,,,,https://a.co/d/cjnAyh1,,,,,,,,
lionelmichel,nan,16-segment display,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Azharul Haque,nan,3-Axis Accelerometer Breakout - MMA8452Q,sensor,accelerometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Brendan Howell/Dirk van Osterbosch/Lionel Michel,nan,4 x AAA Battery Mount,power,battery,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Generic,nan,5V DC Adapter,power,dc_5v_adapter,,,,5.0,5.0,,,,,POWER,,,,,,,,,,,,https://a.co/d/03I4wIY,,,,,,,,
www.fritzing.org,nan,7-SEGMENT-4DIGIT,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,7-SEGMENT-4DIGIT-YOUNGSUN,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stefan Hermann,nan,7 Segment Display,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,7-SEGMENT-DISPLAY,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,7-SEGMENT-DISPLAY-1_-RED,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
lionelmichel,nan,7-Segment LED Display,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SparkFun,nan,9 Degrees of Freedom - Sensor Stick,sensor,sensor,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10724,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,ACS712,sensor,current,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
jonathan,nan,ACS712 Low Current Sensor Board v12,sensor,current,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8883,,,,imported_from_fritzing,,,,,
Analog Devices,nan,AD22100 - Voltage Output Temperature Sensor with Signal Conditioning,sensor,sensor,,,,,,,,,,,,,,,,,,,,,http://www.analog.com/AD22100,,,,imported_from_fritzing,,,,,
Analog Devices,nan,AD22151 - Linear Output Magnetic Field Sensor,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,http://www.analog.com/AD22151G,,,,imported_from_fritzing,,,,,
Analog Devices,nan,AD654 - Low Cost Monolithic Voltage-to-Frequency Converter,power,regulator,,,,,,,,,,,,,,,,,,,,,http://www.analog.com/ad654,,,,imported_from_fritzing,,,,,
Christophe Augier,nan,Adafruit Atmega32u4 Breakout Board,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
pkurtans,nan,Adafruit HUZZAH ESP8266 Breakout,controller,esp8266,,,,2.5,3.6,3.3,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,https://learn.adafruit.com/adafruit-huzzah-esp8266-breakout/overview,,,,imported_from_fritzing,,,,,
Analog Devices,nan,ADMP504 - Ultralow Noise Microphone with Bottom Port and Analog Output,sensor,microphone,,,,,,,,,,,,,,,,,,,,,http://www.analog.com/ADMP504,,,,imported_from_fritzing,,,,,
Analog Devices,nan,ADP3300 - High Accuracy 50mA Low Dropout Linear Regulator,power,regulator,,,,,,,,,,,,,,,,,,,,,http://www.analog.com/ADP3300,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,ADXL180,sensor,accelerometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,ADXL193,sensor,accelerometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Analog Devices,nan,"ADXL327 - Small, Low Power, #-Axis +/-2G Accelerometer",sensor,accelerometer,,,,,,,,,,,,,,,,,,,,,http://www.analog.com/ADXL327,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,ADXL335,sensor,accelerometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,ADXL345,sensor,accelerometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,Alphanumeric LED Display,actuator,led,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SparkFun and Fritzing Part-o-matic,nan,Altitude/Pressure Sensor - MPL3115A2 Breakout,sensor,generic,,,,,,,,,,,,,,,,,,,,,https://www.sparkfun.com/products/11084,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,Ambient Light Sensor,sensor,light,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SparkFun,nan,Ambient Light Sensor (TEMT6000 Breakout Board),sensor,light,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8688,,,,imported_from_fritzing,,,,,
althaus,nan,Arduino Board Ethernet,controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardEthernet,,,,imported_from_fritzing,,,,,
fabian Althaus,nan,Arduino BT,controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardBluetooth,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Can-Bus Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10039,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Cap Sense Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10508,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Cellular Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9607,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Color LCD Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9363,,,,imported_from_fritzing,,,,,
althaus,nan,Arduino Due (Rev2b),controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardDue,,,,imported_from_fritzing,,,,,
althaus,nan,Arduino Esplora (Rev4),controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardEsplora,,,,imported_from_fritzing,,,,,
fabian althaus,nan,Arduino Ethernet Shield (Rev3),controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/de/Main/ArduinoEthernetShield,,,,imported_from_fritzing,,,,,
althaus,nan,Arduino Fio (Funnel I/O),controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardFio,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino GPS Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10102,,,,imported_from_fritzing,,,,,
f.althaus,nan,Arduino GSM Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoGSMShield,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,Arduino Intel Galileo Shield/2 PCB,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,Arduino Intel Galileo Shield PCB,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Joystick Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9490,,,,imported_from_fritzing,,,,,
althaus,nan,Arduino Leonardo (Rev3b),controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardLeonardo,,,,imported_from_fritzing,,,,,
Arduino,A000067,Arduino Mega 2560,controller,arduino,,,embedded_platform,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,I2C|SPI|UART|ADC|GPIO,,,,,,,,,,,,https://a.co/d/cT2LOo,,,Many GPIOs,,,,,
althaus,nan,Arduino Mega 2560 (Rev3),controller,arduino,,,,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardMega2560,,,,imported_from_fritzing,,,,,
althaus,nan,Arduino Mega ADK (Rev3),controller,arduino,,,,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardADK,,,,imported_from_fritzing,,,,,
f.althaus,nan,Arduino Mega Pro 3.3V,controller,arduino,,,,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,https://www.sparkfun.com/products/10744,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Mega Proto Shield,controller,arduino,,,,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,http://www.sparkfun.com/products/9346,,,,imported_from_fritzing,,,,,
jonathan,nan,Arduino Mega Proto Shield (v6),controller,arduino,,,,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
KingDarBoja,nan,Arduino Mega Sensor Shield v2.0,controller,arduino,,,,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,Arduino Mega Shield PCB,controller,arduino,,,,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stefan Hermann,nan,Arduino Mega Shield PCB,controller,arduino,,,,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
althaus,nan,Arduino Micro (Rev3),controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardMicro,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino MicroSD Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9802,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Midi Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9595,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Mini Proto Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9709,,,,imported_from_fritzing,,,,,
althaus,nan,Arduino Mini (Rev5),controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardMini,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Modkit Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10018,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Motor Shield,actuator,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9815,,,,imported_from_fritzing,,,,,
althaus,nan,Arduino Motor Shield (Rev3),actuator,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoMotorShieldR3,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino MP3 Player Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10628,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Musical Instrument Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10587,,,,imported_from_fritzing,,,,,
Althaus,nan,Arduino Nano (Rev3.0),controller,arduino,,,,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardNano,,,,imported_from_fritzing,,,,,
Althaus,nan,Arduino Nano (Rev3.0) (ICSP),controller,arduino,,,,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardNano,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Power Driver Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10305,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,Arduino Pro,controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardPro,,,,imported_from_fritzing,,,,,
f.althaus,nan,Arduino Pro Mini (3.3V),controller,controller,,,,3.3,3.3,,,,,,,,,,,,,,,,https://www.sparkfun.com/products/11114,,,,imported_from_fritzing,,,,,
f.althaus,nan,Arduino Pro Mini (5V),controller,controller,,,,5.0,5.0,,,,,,,,,,,,,,,,https://www.sparkfun.com/products/11113,,,,imported_from_fritzing,,,,,
althaus,nan,Arduino Pro Mini v13,controller,controller,,,,,,,,,,,,,,,,,,,,,https://www.sparkfun.com/products/11113,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino ProtoScrew Shield Kit,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9729,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino ProtoShield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/7914,,,,imported_from_fritzing,,,,,
Arduino,nan,Arduino Prototyping Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoProtoShield,,,,imported_from_fritzing,,,,,
Brendan Howell,nan,Arduino Shield PCB,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,Arduino Shield PCB,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
althaus,nan,Arduino Uno (Rev3),controller,arduino,,,,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardUno,,,,imported_from_fritzing,,,,,
althaus,nan,Arduino Uno (Rev3) - ICSP,controller,arduino,,,,7.0,12.0,5.0,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardUno,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino USB Host Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9947,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino Voicebox Shield (Stephen Hawking in a box),controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9799,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino WiFly Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9954,,,,imported_from_fritzing,,,,,
Arduino,nan,Arduino Wireless SD Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoWirelessShield,,,,imported_from_fritzing,,,,,
Arduino,nan,Arduino Xbee Libellium Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/it/Main/ArduinoXbeeShield,,,,imported_from_fritzing,,,,,
SparkFun,nan,Arduino XBee Shield,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9976,,,,imported_from_fritzing,,,,,
fabian althaus,nan,Arduino Yun,controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardYun?from=Main.ArduinoYUN,,,,imported_from_fritzing,,,,,
SparkFun,nan,ArduPilot Mega,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10294,,,,imported_from_fritzing,,,,,
ELEGOO,nan,Assorted LEDs Kit,actuator,led,,brightness,indicator_light,,,,,,GPIO,,,,,,,,,,,,,,,Diffused flashing LEDs,,,,,,
www.fritzing.org,nan,ATMEGA128,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,ATMEGA128RFA1,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Fritzing Part-o-matic,nan,atmega168,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,ATMEGA168,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Mr.T,nan,atmega168 smd,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,ATMEGA2560,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
fabian althaus,nan,ATmega328,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Fritzing Part-o-matic,nan,atmega328,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Johannes Wronka,nan,ATMEGA32U4,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,ATMEGA32U4,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
