manufacturer,mpn,part_label,category,kind,observed_property,actuatable_property,feature_of_interest,vcc_min,vcc_max,logic_level,i_active_mA,i_idle_uA,iface,i2c_addr_default,i2c_addr_range,spi_max_mhz,uart_baud,sample_rate_max_hz,latency_ms,accuracy_pct,range_min,range_max,units,datasheet_url,product_url,offer_price,currency,lifecycle,notes,package_case,pin_count,temp_min_c,temp_max_c,clock_mhz
Revolution Education Ltd,,11LC010,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,11LC020,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,11LC040,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,11LC080,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,11LC160,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Vince Callahan,,128 x 64 Graphic LCD,actuator,display_lcd,,,,,,,,,,,,,,,,,,,,,http://www.arduino.cc/playground/Code/GLCDks0108,,,,imported_from_fritzing,,,,,
Generic,,12V DC Adapter,power,dc_12v_adapter,,,,12.0,12.0,,,,,POWER,,,,,,,,,,,,https://a.co/d/cjnAyh1,,,,,,,,
lionelmichel,,16-segment display,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Old Grey,,174917_DENSO-ECU-socket_48pin-040-070,mechanical,connector,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Brendan Howell,,220 Ω Resistor,tooling,resistor,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Mr.T,,220 Ω Resistor,tooling,resistor,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,220 Ω Resistor,tooling,resistor,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Christoph Rieder,,23LCV1024,tooling,component,,,,,,,,,,,,,,,,,,,,,http://www.microchip.com/wwwproducts/Devices.aspx?product=23LCV1024,,,,imported_from_fritzing,,,,,
www.fritzing.org,,2.4GHz ANT IC,tooling,ic,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,2.4GHz Low Power Transceiver,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,2.4GHz Transceiver,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,24LC01,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,24LC02,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,24LC04,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,24LC08,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,24LC1025,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,24LC128,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,24LC16,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,24LC256,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,24LC32,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,24LC512,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,24LC64,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,25LC010,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,25LC020,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,25LC040,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,25LC080,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,25LC1024,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,25LC128,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,25LC160,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,25LC256,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,25LC320,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,25LC512,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,,25LC640,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,2.5mm Audio Jack,mechanical,connector,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,3.5mm Audio Jack,mechanical,connector,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Azharul Haque,,3-Axis Accelerometer Breakout - MMA8452Q,sensor,accelerometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stephen G. Parry (modified by vanepp jan 2019),,4001 4 x 2 Input NOR Gate,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4001 4 x 2 Input NOR Gate, single part",tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4011 4 x 2 Input NAND Gate, multi-part",tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4011 4 x 2 Input NAND Gate, single part",tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
neutmute,,4060,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4070 4 x 2 Input XOR Gate, multi-part",tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4070 4 x 2 Input XOR Gate, single part",tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4071 4 x 2 Input OR Gate, multi-part",tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4071 4 x 2 Input OR Gate, single part",tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4077 4 x 2 Input XNOR Gate, multi-part",tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4077 4 x 2 Input XNOR Gate, single part",tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4081 4 x 2 Input AND Gate, multi-part",tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4081 4 x 2 Input AND Gate, single part",tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,#4 Stand Off,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Brendan Howell/Dirk van Osterbosch/Lionel Michel,,4 x AAA Battery Mount,power,battery,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,50-PIN-CENTRONICS-F,tooling,ic,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,50-PIN-CENTRONICS-M,tooling,ic,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Dirk van Oosterbosch,,555 Timer,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Mr.T,,555 Timer,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,556,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Generic,,5V DC Adapter,power,dc_5v_adapter,,,,5.0,5.0,,,,,POWER,,,,,,,,,,,,https://a.co/d/03I4wIY,,,,,,,,
www.fritzing.org,,6400BG_HEATSINK,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,640x480 CMOS Color Camera,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,74*08,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,74*32,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,74ACT125D,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,74AHC1G08,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,74HC04_HEX_INVERTER,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Christoph Rieder,,74HC139N,tooling,component,,,,,,,,,,,,,,,,,,,,,http://www.ti.com/lit/ds/symlink/sn74hc139.pdf,,,,imported_from_fritzing,,,,,
www.fritzing.org,,74HC4051,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,74HC4052,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,74HC4067,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Jonas Jaeger,,74HC595,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Mr.T,,74HC595 SMD,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,74LVC138AD,tooling,component,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,74VHC4052,tooling,component,,,,74.0,74.0,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,7-SEGMENT-4DIGIT,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,7-SEGMENT-4DIGIT-YOUNGSUN,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stefan Hermann,,7 Segment Display,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,7-SEGMENT-DISPLAY,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,7-SEGMENT-DISPLAY-1_-RED,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
lionelmichel,,7-Segment LED Display,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Christoph Wempe,,888H-1CC-F-C E,tooling,component,,,,,,,,,,,,,,,,,,,,,http://www.produktinfo.conrad.com/datenblaetter/500000-524999/502284-da-01-en-LEIST_PR_REL_888H_17A_1UK_230VAC.pdf,,,,imported_from_fritzing,,,,,
