manufacturer,mpn,part_label,category,kind,observed_property,actuatable_property,feature_of_interest,vcc_min,vcc_max,i_active_mA,i_idle_uA,iface,i2c_addr_default,i2c_addr_range,spi_max_mhz,uart_baud,sample_rate_max_hz,latency_ms,accuracy_pct,range_min,range_max,units,datasheet_url,product_url,offer_price,currency,lifecycle,notes,Unnamed: 29,Unnamed: 30,Unnamed: 31
Revolution Education Ltd,,11LC010,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,11LC020,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,11LC040,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,11LC080,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,11LC160,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Vince Callahan,,128 x 64 Graphic LCD,Tool,,,,,,,,,,,,,,,,,,,,,http://www.arduino.cc/playground/Code/GLCDks0108,,,,imported_from_fritzing,,,
Generic,,12V DC Adapter,power,dc_12v_adapter,,,,12,12,,,,POWER,,,,,,,,,,,,https://a.co/d/cjnAyh1,,,,,,
lionelmichel,,16-segment display,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Old Grey,,174917_DENSO-ECU-socket_48pin-040-070,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Brendan Howell,,220 Ω Resistor,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Mr.T,,220 Ω Resistor,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,220 Ω Resistor,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Christoph Rieder,,23LCV1024,Tool,,,,,,,,,,,,,,,,,,,,,http://www.microchip.com/wwwproducts/Devices.aspx?product=23LCV1024,,,,imported_from_fritzing,,,
www.fritzing.org,,2.4GHz ANT IC,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,2.4GHz Low Power Transceiver,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,2.4GHz Transceiver,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,24LC01,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,24LC02,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,24LC04,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,24LC08,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,24LC1025,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,24LC128,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,24LC16,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,24LC256,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,24LC32,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,24LC512,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,24LC64,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,25LC010,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,25LC020,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,25LC040,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,25LC080,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,25LC1024,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,25LC128,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,25LC160,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,25LC256,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,25LC320,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,25LC512,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Revolution Education Ltd,,25LC640,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,2.5mm Audio Jack,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,3.5mm Audio Jack,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Azharul Haque,,3-Axis Accelerometer Breakout - MMA8452Q,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stephen G. Parry (modified by vanepp jan 2019),,4001 4 x 2 Input NOR Gate,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4001 4 x 2 Input NOR Gate, single part",Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4011 4 x 2 Input NAND Gate, multi-part",Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4011 4 x 2 Input NAND Gate, single part",Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
neutmute,,4060,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4070 4 x 2 Input XOR Gate, multi-part",Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4070 4 x 2 Input XOR Gate, single part",Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4071 4 x 2 Input OR Gate, multi-part",Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4071 4 x 2 Input OR Gate, single part",Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4077 4 x 2 Input XNOR Gate, multi-part",Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4077 4 x 2 Input XNOR Gate, single part",Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4081 4 x 2 Input AND Gate, multi-part",Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stephen G. Parry (modified by vanepp jan 2019),,"4081 4 x 2 Input AND Gate, single part",Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,#4 Stand Off,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Brendan Howell/Dirk van Osterbosch/Lionel Michel,,4 x AAA Battery Mount,PowerSupply,power,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,50-PIN-CENTRONICS-F,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,50-PIN-CENTRONICS-M,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Dirk van Oosterbosch,,555 Timer,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Mr.T,,555 Timer,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,556,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Generic,,5V DC Adapter,power,dc_5v_adapter,,,,5,5,,,,POWER,,,,,,,,,,,,https://a.co/d/03I4wIY,,,,,,
www.fritzing.org,,6400BG_HEATSINK,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,640x480 CMOS Color Camera,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,74*08,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,74*32,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,74ACT125D,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,74AHC1G08,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,74HC04_HEX_INVERTER,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Christoph Rieder,,74HC139N,Tool,,,,,,,,,,,,,,,,,,,,,http://www.ti.com/lit/ds/symlink/sn74hc139.pdf,,,,imported_from_fritzing,,,
www.fritzing.org,,74HC4051,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,74HC4052,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,74HC4067,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Jonas Jaeger,,74HC595,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Mr.T,,74HC595 SMD,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,74LVC138AD,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,74VHC4052,Tool,,,,,74,74,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,7-SEGMENT-4DIGIT,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,7-SEGMENT-4DIGIT-YOUNGSUN,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stefan Hermann,,7 Segment Display,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,7-SEGMENT-DISPLAY,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,7-SEGMENT-DISPLAY-1_-RED,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
lionelmichel,,7-Segment LED Display,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Christoph Wempe,,888H-1CC-F-C E,Tool,,,,,,,,,,,,,,,,,,,,,http://www.produktinfo.conrad.com/datenblaetter/500000-524999/502284-da-01-en-LEIST_PR_REL_888H_17A_1UK_230VAC.pdf,,,,imported_from_fritzing,,,
Ricardo Salveti fixed by f.althaus,,96boards Consumer Edition,Tool,,,,,,,,,,,,,,,,,,,,,http://www.96boards.org,,,,imported_from_fritzing,,,
SparkFun,,9 Degrees of Freedom - Sensor Stick,Sensor,sensor,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10724,,,,imported_from_fritzing,,,
Steven Vogel,,A4950,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,A4983,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,A6282,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Brendan Howell,,AC Power,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
www.fritzing.org,,ACS712,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
jonathan,,ACS712 Low Current Sensor Board v12,Sensor,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8883,,,,imported_from_fritzing,,,
