manufacturer,mpn,part_label,category,kind,observed_property,actuatable_property,feature_of_interest,vcc_min,vcc_max,logic_level,i_active_mA,i_idle_uA,iface,i2c_addr_default,i2c_addr_range,spi_max_mhz,uart_baud,sample_rate_max_hz,latency_ms,accuracy_pct,range_min,range_max,units,datasheet_url,product_url,offer_price,currency,lifecycle,notes,package_case,pin_count,temp_min_c,temp_max_c,clock_mhz
Vince Callahan,,128 x 64 Graphic LCD,actuator,display_lcd,,,,,,,,,,,,,,,,,,,,,http://www.arduino.cc/playground/Code/GLCDks0108,,,,imported_from_fritzing,,,,,
Generic,,12V DC Adapter,power,dc_12v_adapter,,,,12.0,12.0,,,,,POWER,,,,,,,,,,,,https://a.co/d/cjnAyh1,,,,,,,,
lionelmichel,,16-segment display,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Azharul Haque,,3-Axis Accelerometer Breakout - MMA8452Q,sensor,accelerometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Brendan Howell/Dirk van Osterbosch/Lionel Michel,,4 x AAA Battery Mount,power,battery,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Generic,,5V DC Adapter,power,dc_5v_adapter,,,,5.0,5.0,,,,,POWER,,,,,,,,,,,,https://a.co/d/03I4wIY,,,,,,,,
www.fritzing.org,,7-SEGMENT-4DIGIT,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,7-SEGMENT-4DIGIT-YOUNGSUN,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stefan Hermann,,7 Segment Display,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,7-SEGMENT-DISPLAY,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,,7-SEGMENT-DISPLAY-1_-RED,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
lionelmichel,,7-Segment LED Display,actuator,display_segment,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SparkFun,,9 Degrees of Freedom - Sensor Stick,sensor,sensor,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10724,,,,imported_from_fritzing,,,,,
www.fritzing.org,,ACS712,sensor,current,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
jonathan,,ACS712 Low Current Sensor Board v12,sensor,current,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8883,,,,imported_from_fritzing,,,,,
Analog Devices,,AD22100 - Voltage Output Temperature Sensor with Signal Conditioning,sensor,sensor,,,,,,,,,,,,,,,,,,,,,http://www.analog.com/AD22100,,,,imported_from_fritzing,,,,,
Analog Devices,,AD22151 - Linear Output Magnetic Field Sensor,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,http://www.analog.com/AD22151G,,,,imported_from_fritzing,,,,,
Analog Devices,,AD654 - Low Cost Monolithic Voltage-to-Frequency Converter,power,regulator,,,,,,,,,,,,,,,,,,,,,http://www.analog.com/ad654,,,,imported_from_fritzing,,,,,
Christophe Augier,,Adafruit Atmega32u4 Breakout Board,controller,controller,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
pkurtans,,Adafruit HUZZAH ESP8266 Breakout,controller,controller,,,,,,,,,,,,,,,,,,,,,https://learn.adafruit.com/adafruit-huzzah-esp8266-breakout/overview,,,,imported_from_fritzing,,,,,
